Country,Year,"Number of New
Limited Liability Companies",New business density rate,Country_Code,Region,Income group,Account (% age 15+),Saved at a financial institution (% age 15+),indicator,estimate,Economy,Informal_Economy_Percentage,Series Name.x,Series Code.x,Country Name.x,Female_LFP,Series Name.y,Series Code.y,Country Name.y,Male_LFP,LFP_Gender_Gap,Country Name.x.x,Indicator Name.x,Indicator Code.x,Country Name.y.y,Indicator Name.y,Indicator Code.y,GDP_Constant_2015USD,Country Name.x.x.x,Indicator Name.x.x,Indicator Code.x.x,Gov_Edu_Spending_PctGDP,Country Name.y.y.y,Indicator Name.y.y,Indicator Code.y.y,Female_Pop_Percentage,Country Name.x.x.x.x,Indicator Name.x.x.x,Indicator Code.x.x.x,Country Name.y.y.y.y,Indicator Name.y.y.y,Indicator Code.y.y.y,Working_Age_Pop,Country Name.x.x.x.x.x,Population_Growth,Total_Population,Entrepreneurship_Score,WEFS,Country Name.x.x.x.x.x.x,Indicator Name.x.x.x.x,Indicator Code.x.x.x.x,Employment_Agriculture,Country Name.y.y.y.y.y,Indicator Name.y.y.y.y,Indicator Code.y.y.y.y,Employment_Industry,Country Name,Indicator Name,Indicator Code,Employment_Services,Dominant_Employment_Sector,region,sub-region
Afghanistan,2011,3745,0.259386789,AFG,South Asia,Low income,0.090050124,0.028194202,cc,-1.600470781,,32.71581141,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Afghanistan,15.895,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Afghanistan,78.202,62.307,Afghanistan,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,Afghanistan,GDP (constant 2015 US$),NY.GDP.MKTP.KD,15420077666,Afghanistan,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.462009907,Afghanistan,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.51849219,Afghanistan,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Afghanistan,"Population ages 15-64, total",SP.POP.1564.TO,14567633,Afghanistan,3.691503084,29347708,75,0.465957428,Afghanistan,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,52.78479287,Afghanistan,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,15.82277051,Afghanistan,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,31.3924518,Agriculture,Asia,Southern Asia
Afghanistan,2014,2466,0.146761106,AFG,South Asia,Low income,0.099610008,0.035663947,cc,-1.364934087,,32.71581141,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Afghanistan,18.107,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Afghanistan,76.226,58.119,Afghanistan,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,Afghanistan,GDP (constant 2015 US$),NY.GDP.MKTP.KD,18860496494,Afghanistan,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.695219994,Afghanistan,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.46811503,Afghanistan,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Afghanistan,"Population ages 15-64, total",SP.POP.1564.TO,16701362,Afghanistan,3.632518847,32792523,75,0.544561506,Afghanistan,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,44.79858731,Afghanistan,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,22.04674162,Afghanistan,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,33.15467107,Agriculture,Asia,Southern Asia
Afghanistan,2017,3022,0.161550509,AFG,South Asia,Low income,0.148933128,0.036678888,cc,-1.530074596,,32.71581141,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Afghanistan,21.24,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Afghanistan,73.401,52.161,Afghanistan,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,Afghanistan,GDP (constant 2015 US$),NY.GDP.MKTP.KD,20084646751,Afghanistan,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.343190193,Afghanistan,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.45492489,Afghanistan,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Afghanistan,"Population ages 15-64, total",SP.POP.1564.TO,18656626,Afghanistan,2.808337308,35688935,75,0.663370421,Afghanistan,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,43.98902775,Afghanistan,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,18.02645947,Afghanistan,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,37.98451278,Agriculture,Asia,Southern Asia
Albania,2011,1849,0.938847467,ALB,Europe & Central Asia (excluding high income),Upper middle income,0.282681257,0.085616104,cc,-0.701794147,Albania,30.60742569,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Albania,52.561,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Albania,67.629,15.068,Albania,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,Albania,GDP (constant 2015 US$),NY.GDP.MKTP.KD,10685445792,Albania,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.240008354,Albania,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.51035479,Albania,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Albania,"Population ages 15-64, total",SP.POP.1564.TO,1971042,Albania,-0.269017332,2905195,100,2.539240579,Albania,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,45.38803989,Albania,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,18.86463102,Albania,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,35.7473291,Agriculture,Europe,Southern Europe
Albania,2014,2219,1.124702035,ALB,Europe & Central Asia (excluding high income),Upper middle income,0.37986353,0.074827388,cc,-0.586571813,Albania,29.76793671,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Albania,43.958,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Albania,63.307,19.349,Albania,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,Albania,GDP (constant 2015 US$),NY.GDP.MKTP.KD,11139693789,Albania,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.216967106,Albania,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.51681446,Albania,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Albania,"Population ages 15-64, total",SP.POP.1564.TO,1977496,Albania,-0.207047,2889104,100,2.332584887,Albania,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,42.25703163,Albania,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,17.74007969,Albania,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,40.00288868,Agriculture,Europe,Southern Europe
Albania,2017,2983,1.523164301,ALB,Europe & Central Asia (excluding high income),Upper middle income,0.4001517,0.086609818,cc,-0.48138684,Albania,29.96686363,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Albania,49.736,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Albania,66.751,17.015,Albania,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,Albania,GDP (constant 2015 US$),NY.GDP.MKTP.KD,12211675170,Albania,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.611720085,Albania,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.50649652,Albania,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Albania,"Population ages 15-64, total",SP.POP.1564.TO,1965768,Albania,-0.091972294,2873457,100,2.48640452,Albania,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,38.07835174,Albania,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,19.38132908,Albania,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,42.54040338,Services,Europe,Southern Europe
Albania,2021,3296,1.737090142,ALB,Europe & Central Asia (excluding high income),Upper middle income,0.441741735,0.096587107,cc,-0.577179968,,30.11407534,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Albania,51.887,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Albania,66.164,14.277,Albania,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,Albania,GDP (constant 2015 US$),NY.GDP.MKTP.KD,13659219677,Albania,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.022559881,Albania,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.53210305,Albania,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Albania,"Population ages 15-64, total",SP.POP.1564.TO,1894123,Albania,-0.926918062,2811666,100,2.604157673,Albania,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,36.01721054,Albania,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,20.9114578,Albania,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,43.07125017,Services,Europe,Southern Europe
Algeria,2011,12267,0.497301792,DZA,Middle East & North Africa (excluding high income),Lower middle income,0.332861125,0.043256994,cc,-0.572699666,Algeria,29.99245453,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Algeria,14.614,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Algeria,70.593,55.979,Algeria,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,Algeria,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.66E+11,Algeria,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,Algeria,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.74607678,Algeria,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Algeria,"Population ages 15-64, total",SP.POP.1564.TO,24935051,Algeria,1.956894374,36903376,75,0.517674436,Algeria,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,10.77195601,Algeria,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,30.85738341,Algeria,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,58.37067016,Services,Africa,Northern Africa
Algeria,2014,15583,0.60578728,DZA,Middle East & North Africa (excluding high income),Lower middle income,0.504757881,0.137746394,cc,-0.613117993,Algeria,29.52054787,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Algeria,15.256,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Algeria,68.641,53.385,Algeria,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,Algeria,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.82E+11,Algeria,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.54889822,Algeria,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.81175706,Algeria,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Algeria,"Population ages 15-64, total",SP.POP.1564.TO,26016043,Algeria,2.037865242,39205031,75,0.564668977,Algeria,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,9.745149809,Algeria,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,30.97044319,Algeria,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,59.28439766,Services,Africa,Northern Africa
Algeria,2017,16683,0.627303955,DZA,Middle East & North Africa (excluding high income),Lower middle income,0.427766263,0.114222459,cc,-0.598896265,Algeria,28.82438087,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Algeria,14.887,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Algeria,68.502,53.615,Algeria,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,Algeria,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.98E+11,Algeria,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.734823704,Algeria,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.86881766,Algeria,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Algeria,"Population ages 15-64, total",SP.POP.1564.TO,26925929,Algeria,2.032000608,41689299,75,0.565464328,Algeria,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,10.16129402,Algeria,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,30.9825148,Algeria,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,58.85619119,Services,Africa,Northern Africa
